test_name,runName,runId,custom_teststepname,request,response
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593555">PeriodCashBackReward - BatchProcessing - HappyPath</a>,BaaS_PostedCashBackRewardProcessor Service,1418178,Run Test Case - Validate PeriodBatchProcessingResult,,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593565">ContactVerification - SendCode - ProfileUpdateEmail</a>,BaaS_Partner ContactVerification Service,1418179,Run TestCase - Enrollments,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418179/201428581-2024-07-14-09-01-21--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418179/201428581-2024-07-14-09-01-21--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593561">ContactVerification - SendCode - AchPull</a>,BaaS_Partner ContactVerification Service,1418179,Run TestCase - Enrollments,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418179/201428572-2024-07-14-08-58-34--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418179/201428572-2024-07-14-08-58-34--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593818">GetAccountBinType - Happy Path</a>,BaaS_Core Service,1418184,Run TestCase - GetAccountBINType,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201131953-2024-07-14-02-14-56--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201131953-2024-07-14-02-14-56--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593779">Interest Rate Tiers- All Products</a>,BaaS_Core Service,1418184,Run TestCase - Get Interest Rate - Before Rate Change,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201130975-2024-07-14-02-11-13--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201130975-2024-07-14-02-11-13--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593778">Interest Rate Tier</a>,BaaS_Core Service,1418184,Verify Before & After Rates,,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593821">ReplaceCard - NameChange - NotActivated - Use UpperCaseProgramCode</a>,BaaS_Core Service,1418184,Run TestCase - Enroll,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201132197-2024-07-14-02-10-41--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201132197-2024-07-14-02-10-41--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593807">SetStatus - CustomerInitiatedSpendDown - VaultLimit - LimitAmountMax</a>,BaaS_Core Service,1418184,Run TestCase - Enroll,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201131509-2024-07-14-02-06-10--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201131509-2024-07-14-02-06-10--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593806">SetStatus - CustomerInitiatedSpendDown - PositiveAvailableBalance</a>,BaaS_Core Service,1418184,Run TestCase - Enroll,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201131508-2024-07-14-02-06-05--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201131508-2024-07-14-02-06-05--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593787">Accounts - Financial Data Account</a>,BaaS_Core Service,1418184,Run TestCase - CashBackRewards,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201130984-2024-07-14-02-02-57--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201130984-2024-07-14-02-02-57--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593783">Accounts - NoPrivateCardData - NoPhysicalCard</a>,BaaS_Core Service,1418184,Run TestCase - Enroll,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201130980-2024-07-14-02-00-31--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418184/201130980-2024-07-14-02-00-31--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593833">EstatementProcessor - TransactionDisplayRule - ACHPull</a>,BaaS_EstatmentProcessor Service,1418185,Run TestCase - SetEstatementProcessorTestData,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418185/201505082-2024-07-14-02-00-12--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418185/201505082-2024-07-14-02-00-12--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593958">ValidateCard - happy path - opt out - DDADM</a>,BaaS_Partner Service_ACC,1418189,Run TestCase - Get Prosepct Data,,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593957">ValidateCard - Happy Path - DDADM</a>,BaaS_Partner Service_ACC,1418189,Run TestCase - Get Prosepct Data,,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594095">Handback Processor - Multiple Accounts - Different Status</a>,BaaS_Partner Service_ACC,1418189,Run TestCase - Trigger ActiveBatch Job,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418189/204530586-2024-07-14-11-06-55--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418189/204530586-2024-07-14-11-06-55--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594094">Reward File Processing - Various Account Status</a>,BaaS_Partner Service_ACC,1418189,Verify Reward in Account Transaction,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418189/204530585-2024-07-14-11-05-22--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418189/204530585-2024-07-14-11-05-22--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594093">Reward File Processing</a>,BaaS_Partner Service_ACC,1418189,Verify Reward in Account Transaction,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418189/204530584-2024-07-14-11-02-44--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418189/204530584-2024-07-14-11-02-44--response.txt">response</a>
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594092">Generate Eligible Accounts File - RAFProcessor - E2E CSV File Upload</a>,BaaS_Partner Service_ACC,1418189,Run TestCase - GenerateACHINTransaction - DirectDeposit,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418189/204530582-2024-07-14-10-59-53--request.txt">request</a>,<a href="https://gdcqatestrail01.nextestate.com:448/108/1418189/204530582-2024-07-14-10-59-53--response.txt">response</a>
