Title,Run,Case Status,Assignee,Bug/Root Cause
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178324933">EstatementProcessor - OfflineEstatementProcessor_HappyPath</a>,BaaS_EstatmentProcessor Service,Passed,Nick Xiong,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178325429">Enrollments - NonRequired Terms OptOutable</a>,BaaS_Partner Service_ACC,Blocked,Donna Xiang,GBOS-108544
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178325436">Enrollments - HappyPath - CallFraudAPIToUpdate</a>,BaaS_Partner Service_ACC,Passed,Donna Xiang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178325647">Transfers - Purse to Purse - VaultOutLimit - MoreThanMaxmum</a>,BaaS_Partner Service,Passed,Chris He,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178332806">InterestRefactor - Yearly Interest - Adhoc Rerun - MoreAmount - HappyPath</a>,BaaS_FeeProcessor,Passed,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178332807">InterestRefactor - Yearly Interest - Rerun Batch Import Complete</a>,BaaS_FeeProcessor,Passed,Cindy Song,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178333189">Enrollment - KYC2-OFACHardDecline</a>,BaaSGateway Service_WMMC,Passed,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178333246">GetFeaturesLibraryEligibility - Virtual Card is Active more than 15 days since registration</a>,BaaSGateway Service_WMMC,Passed,Eric Gu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178333260">AddVaults - With Interest Rate Tier -  Multiple Vaults - HappyPath</a>,BaaSGateway Service_WMMC,Passed,Lisa Liu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178333259">AddVaults - With Interest Rate Tier -  HappyPath</a>,BaaSGateway Service_WMMC,Passed,Lisa Liu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178333013">CreateLoginAccessToken - Different Account Status - Happy Path</a>,BaaSGateway Service_WMMC,Blocked,None,GBOS-108558
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178333013">CreateLoginAccessToken - Different Account Status - Happy Path</a>,BaaSGateway Service_WMMC,Blocked,None,GBOS-108558
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/178333226">Productfeaturelimits - HappyPath</a>,BaaSGateway Service_WMMC,Passed,None,
